Volume,Roundness,Opacity,AmplitudeVariance,AmplitudeSkewness,MaxAmplitude,MinAmplitude,DryMassDensity,MaxPhase,MinPhase,PhaseVariance,PhaseSkewness,PhaseSTDLocalMean,PhaseSTDLocalVariance,PhaseSTDLocalSkewness,PhaseSTDLocalKurtosis,PhaseSTDLocalMin,PhaseSTDLocalMax,PhaseSTDLocalCentroidDisplacement,AmplitudeSTDLocalMean,AmplitudeSTDLocalVariance,AmplitudeSTDLocalSkewness,AmplitudeSTDLocalKurtosis,AmplitudeSTDLocalMin,AmplitudeSTDLocalMax,AmplitudeSTDLocalCentroidDisplacement,Image ID
335.4554333627092,0.9229080304111026,12.233832807570979,0.00119331926342812,0.4517950377325514,0.1451,-0.0392,0.058538844643538195,2.97,-0.1252,0.6540284360189573,0.6419146534664947,0.2515932678800276,0.019958044115400992,0.5528913888462146,2.5896128374451464,0.015173789,0.6903104,24522.407709237643,0.017078838889907213,0.0001295658790669735,1.6158167794161333,5.8619980297896515,0.0034645898,0.066040106,24545.01002384144,0
218.37658217636002,0.8574376957108464,12.12081589958159,0.0016470535246331237,0.5039768872137343,0.1294,-0.03137,0.050292233230987145,1.867,-0.075,0.2528825995807128,0.7359222837453321,0.1963321254841952,0.00721987438401836,0.6452286418434494,2.687356945767252,0.042316362,0.42003375,6205.832113076923,0.021802303681313744,0.00015158326495868355,0.236641162034289,2.093713919970634,0.0024279407,0.05300578,6210.1260352569325,0
397.1818869835229,0.8646052226006845,12.313432835820896,0.00032822982124660325,0.31158911921963983,0.05884,-0.0196,0.054495823349339986,2.246,-0.1168,0.5268342391304348,0.2686657791354095,0.22533436416770905,0.017768034468526425,0.46878444587931195,2.2245322272705943,0.013969173,0.5563073,26216.234512223666,0.010720807467580975,3.8149695762473605e-05,0.6096419814910019,2.2959791785845987,0.0024672002,0.027664367,26238.37345910318,1
53.409376760581104,0.7849589645728379,12.499999999999998,5.3780977843237705e-06,-0.19626161367400494,0.00392,-0.00392,0.006129853688268536,0.1021,-0.03198,0.00038272044697745903,0.028867994410834617,0.017291979887047594,3.732637822872303e-05,0.8996358959162472,4.155473419304948,0.0051186755,0.040583037,45151.60725715021,0.0020471850220037968,2.0251882531619096e-07,-0.7556258043127764,5.40709306731267,0.0,0.003161597,45154.30640110031,1
241.8350040898362,0.918540238490488,12.278368794326243,0.0010112538854351687,0.8439637966143713,0.1098,-0.03137,0.08629319203246213,3.377,-0.1897,0.9045293072824157,0.5786301069023326,0.31828535364029253,0.02387400334088883,0.4476036451983112,2.2863816877872583,0.059351943,0.6686117,31871.21707831176,0.01713417776932953,0.00011018242151021535,0.6635080222108115,2.6283238433711467,0.0022639814,0.047826983,31908.899576381245,2
682.711163809167,0.6421196190749501,12.272298994974875,0.0011073850235849057,1.4352973319098046,0.149,-0.03137,0.03721465217246628,3.68,-0.1821,1.3924528301886792,0.9804942975449042,0.27836484286054297,0.05621863311191775,0.42135288810147714,1.8342607848416896,0.007666307,0.83174485,35923.173895129956,0.015011958740464407,0.00020208377508247423,1.1762136518442967,3.6363317845597005,0.0009803693,0.063592985,35959.968849963865,2
200.2259244130037,0.940992189969962,12.17714424951267,0.0018863677978515625,0.41363052466587663,0.1216,-0.0392,0.10658503079337635,2.81,-0.07416,0.85986328125,0.1052801245366921,0.3249658060352705,0.028649145737290382,0.11978352211727437,1.9863424540196655,0.006217363,0.7014465,32824.102827597744,0.02585185387445937,0.00018411676865071058,0.4334604646512016,2.2420531177888146,0.0022636522,0.05792319,32862.68320785681,2
405.4871161559202,0.6483324984897263,12.187499999999998,0.0013041214780858677,0.9925886601624302,0.1569,-0.03137,0.05354605554997124,3.49,-0.332,1.2021466905187836,0.5916001334164184,0.3441019058227539,0.03459713412098893,-0.1106314399494569,2.2094224930887574,0.00763248,0.7698866,34957.02833336139,0.018216526508331297,0.00021210015619803414,1.036468443122007,3.829715705588834,0.0,0.070717126,35001.57787900461,2
156.68567161905167,0.9618221229104267,12.472707423580786,0.0001095828133547593,1.571649332045803,0.0392,-0.011765,0.01061227325471847,0.2019,0.004974,0.001250085475929978,-0.06773219529986799,0.030231355059094824,0.00016856888060496724,0.6022847518365617,2.297818835669019,0.009349077,0.06181442,22612.198412630663,0.004507573410933715,3.7387254417627334e-06,1.0936290395070107,3.288738076602215,0.0013394387,0.010611341,22614.47446307261,4
172.73928863559726,0.883353124470265,12.40281100478469,0.0003129332471522782,0.16658739398011932,0.05884,-0.02745,0.0845282625592032,2.158,-0.08484,0.2853717026378897,-0.07308767961410116,0.22685774661707536,0.0077193326515545375,-0.1939676033539005,2.505977006443115,0.030737167,0.4260618,27815.043538593338,0.010841924037659567,1.9584465280568286e-05,0.6416350780749089,2.8731629838723522,0.0025689912,0.024128359,27838.644371807914,6
